feature	full.pathway.name	is.community.feat	PVE.Age	pval.Age	padj.Age	PVE.Diet	pval.Diet	padj.Diet	PVE.Genetics	pval.Genetics	padj.Genetics	PVE.Time	pval.Time	padj.Time	PVE.Cohort	pval.Cohort	padj.Cohort	PVE.Batch	pval.Batch	padj.Batch	PVE.Cage	pval.Cage	padj.Cage	PVE.Mouse	pval.Mouse	padj.Mouse	PVE.Residual	pval.Residual	padj.Residual
PWY7198	PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	N	0.00511894	0.22700097	0.35412151	0.01863623	0.00001875	0.00003065	0.01916675	0.32935387	0.35822154	0.01997259	0.00583481	0.01373193	0.04501218	0.00003759	0.00046643	0.02673352	0.00000704	0.00001028	0.01133430	0.09589137	0.17336651	0.03857516	0.06107698	0.16674016	0.8154503	NA	NA
PWY7199	PWY-7199: pyrimidine deoxyribonucleosides salvage	N	0.11647842	0.00000000	0.00000010	0.08880667	0.00000000	0.00000000	0.04924610	0.00165286	0.00385666	0.00215277	0.37713637	0.53904832	0.00383300	0.21931584	0.40097354	0.00670188	0.15666113	0.15781731	0.00332676	0.58793155	0.70397067	0.04874435	0.00509240	0.05347017	0.6807100	NA	NA
PWY7208	PWY-7208: superpathway of pyrimidine nucleobases salvage	N	0.03044415	0.12597086	0.23554825	0.02085712	0.00000353	0.00000622	0.08330035	0.00031226	0.00121780	0.01677382	0.00090963	0.00275921	0.00000007	1.00000000	1.00000000	0.04200383	0.00000000	0.00000000	0.00713035	0.34125558	0.46271817	0.05971908	0.01294344	0.06591256	0.7397712	NA	NA
PWY7211	PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	N	0.00617203	0.25132777	0.37289391	0.00592451	0.02335895	0.02664355	0.03831307	0.00508505	0.00991584	0.00398301	0.39828707	0.56145685	0.00000009	1.00000000	1.00000000	0.03039841	0.00000147	0.00000253	0.00000009	1.00000000	1.00000000	0.00000004	0.99723342	1.00000000	0.9152087	NA	NA
PWY7220	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	N	0.00273658	0.72508468	0.86819350	0.02561872	0.00000001	0.00000002	0.07684283	0.00052807	0.00158421	0.01695351	0.00071238	0.00221000	0.00000008	0.97566707	1.00000000	0.04919503	0.00000000	0.00000000	0.00194747	0.79050119	0.87018881	0.06579392	0.00606684	0.05429402	0.7609119	NA	NA
PWY7221	PWY-7221: guanosine ribonucleotides de novo biosynthesis	N	0.00329176	0.46412404	0.60050172	0.08146375	0.00000000	0.00000000	0.02533085	0.13553680	0.15870351	0.06676409	0.00002741	0.00013603	0.01057026	0.09081026	0.20659334	0.04697930	0.00000000	0.00000000	0.01556693	0.01455559	0.03784454	0.01505353	0.42767068	0.57232400	0.7349795	NA	NA
PWY7222	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	N	0.00273658	0.72508468	0.86819350	0.02561872	0.00000001	0.00000002	0.07684283	0.00052807	0.00158421	0.01695351	0.00071238	0.00221000	0.00000008	0.97566707	1.00000000	0.04919503	0.00000000	0.00000000	0.00194747	0.79050119	0.87018881	0.06579392	0.00606684	0.05429402	0.7609119	NA	NA
PWY7228	PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	N	0.00685118	0.60306511	0.74834898	0.02775479	0.00000001	0.00000001	0.08388452	0.00033328	0.00126369	0.01635519	0.00061512	0.00212566	0.00000008	1.00000000	1.00000000	0.04855442	0.00000000	0.00000000	0.00330336	0.65147515	0.75361321	0.05965199	0.01462358	0.07128995	0.7536445	NA	NA
PWY7229	PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	N	0.00172962	0.71351509	0.86190097	0.03225643	0.00000000	0.00000000	0.07204440	0.00071788	0.00197960	0.01514239	0.00047925	0.00174446	0.00000008	1.00000000	1.00000000	0.04824958	0.00000000	0.00000000	0.00000006	1.00000000	1.00000000	0.06118877	0.00811305	0.05841765	0.7693887	NA	NA
PWY7234	PWY-7234: inosine-5'-phosphate biosynthesis III	N	0.19382332	0.00000000	0.00000000	0.09209936	0.00000000	0.00000000	0.03857697	0.01197386	0.02095849	0.00000006	0.99719266	1.00000000	0.00662367	0.20918755	0.39115207	0.03273259	0.00000000	0.00000000	0.02379140	0.00015393	0.00161624	0.03313129	0.03911152	0.11918279	0.5792213	NA	NA
PWY7237	PWY-7237: myo-, chiro- and scyllo-inositol degradation	N	0.04018662	0.05552458	0.11851692	0.04506572	0.00000000	0.00000000	0.06220049	0.00021835	0.00094619	0.02513288	0.00139540	0.00384791	0.01226869	0.15141017	0.30171516	0.05912538	0.00000000	0.00000000	0.00415104	0.51628899	0.63776875	0.01604834	0.38601518	0.52691073	0.7358208	NA	NA
PWY7238	PWY-7238: sucrose biosynthesis II	N	0.02585593	0.00010075	0.00065486	0.14205516	0.00000000	0.00000000	0.05087135	0.00353299	0.00741929	0.00767645	0.01475880	0.03052388	0.00000007	1.00000000	1.00000000	0.02309379	0.00007273	0.00009066	0.00300998	0.63515194	0.74373285	0.04133215	0.03314197	0.11203207	0.7061051	NA	NA
PWY724	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	N	0.00323708	0.34351606	0.47846880	0.03621046	0.00000003	0.00000006	0.03754306	0.04511001	0.06237675	0.02294815	0.00001144	0.00006309	0.00000008	1.00000000	1.00000000	0.05318067	0.00000000	0.00000000	0.02796052	0.00028211	0.00256719	0.04377020	0.03324028	0.11203207	0.7751498	NA	NA
PWY7242	PWY-7242: D-fructuronate degradation	N	0.12884615	0.00093871	0.00394259	0.02391150	0.00000005	0.00000012	0.06549881	0.00003182	0.00023480	0.03552880	0.00000003	0.00000035	0.01680869	0.00507506	0.02099230	0.01990660	0.00042663	0.00048327	0.00413979	0.45101449	0.57535960	0.01216386	0.49441009	0.63968699	0.6931958	NA	NA
PWY7282	PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	N	0.00522113	0.10496002	0.20425286	0.03472681	0.00000001	0.00000001	0.05820639	0.00844986	0.01558656	0.01902298	0.00004993	0.00022718	0.01276688	0.05485049	0.14657677	0.03161902	0.00000133	0.00000231	0.00981181	0.17317126	0.27169973	0.03152018	0.15675553	0.30136802	0.7971048	NA	NA
PWY7315	PWY-7315: dTDP-N-acetylthomosamine biosynthesis	N	0.18173584	0.00002895	0.00023249	0.04861727	0.00000000	0.00000000	0.05842217	0.00017158	0.00076791	0.01977461	0.00015449	0.00062949	0.00974332	0.02960601	0.09667226	0.01579735	0.00157724	0.00170193	0.00311134	0.57827409	0.69853463	0.03236474	0.05210357	0.14816951	0.6304334	NA	NA
PWY7316	PWY-7316: dTDP-N-acetylviosamine biosynthesis	N	0.00644139	0.02625171	0.06456502	0.00326754	0.12007951	0.12805354	0.05166529	0.00145952	0.00349517	0.00416895	0.29648195	0.44229275	0.04934758	0.00000002	0.00000239	0.02049909	0.00093896	0.00102534	0.00000028	1.00000000	1.00000000	0.00000005	1.00000000	1.00000000	0.8646098	NA	NA
PWY7323	PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	N	0.00101258	0.65383491	0.79686130	0.00965938	0.00108616	0.00141876	0.02052114	0.19878034	0.22705871	0.01111523	0.02941598	0.05819248	0.06077536	0.00000000	0.00000132	0.02048549	0.00057533	0.00064371	0.00343352	0.55178828	0.66950312	0.02107141	0.27481621	0.43874167	0.8519259	NA	NA
PWY7328	PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	N	0.03880978	0.00003764	0.00028542	0.00856467	0.00651836	0.00787395	0.02789429	0.10575505	0.12782921	0.00437312	0.30043191	0.44574953	0.01964702	0.03242205	0.10219273	0.05591413	0.00000000	0.00000000	0.00660194	0.27343929	0.38281501	0.02358974	0.21206578	0.37953894	0.8146053	NA	NA
PWY7345	PWY-7345: superpathway of anaerobic sucrose degradation	N	0.00480808	0.29244743	0.41582368	0.05072014	0.00000000	0.00000000	0.05290906	0.00309133	0.00672215	0.00479215	0.23263208	0.35880541	0.03575906	0.00011344	0.00114696	0.03588372	0.00000071	0.00000128	0.02340574	0.00118041	0.00657657	0.01548295	0.44324749	0.58457278	0.7762391	NA	NA
PWY7356	PWY-7356: thiamine diphosphate salvage IV (yeast)	N	0.01824767	0.00581366	0.01803556	0.01148013	0.00114596	0.00147569	0.01411548	0.28145330	0.30982561	0.00522559	0.33082878	0.48557128	0.03374669	0.00075362	0.00428620	0.04820821	0.00000000	0.00000000	0.01040233	0.06252943	0.12572783	0.00000018	0.98717687	1.00000000	0.8585737	NA	NA
PWY7357	PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	N	0.03414704	0.00281873	0.00961890	0.00744977	0.01383190	0.01627633	0.00000036	0.99630951	1.00000000	0.00039228	0.93710018	1.00000000	0.02724731	0.00026347	0.00205506	0.04017632	0.00000000	0.00000000	0.00571338	0.34972446	0.47031911	0.03797670	0.03408918	0.11349204	0.8468968	NA	NA
PWY7383	PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	N	0.02056707	0.05992696	0.12584662	0.02096273	0.00002580	0.00004095	0.06261768	0.00113066	0.00293971	0.01274065	0.00410903	0.01019788	0.01851752	0.03533638	0.10721691	0.04947741	0.00000000	0.00000000	0.01381848	0.05809797	0.12015717	0.03093972	0.11455883	0.24625639	0.7703587	NA	NA
PWY7392	PWY-7392: taxadiene biosynthesis (engineered)	N	0.01025709	0.09079042	0.18224841	0.09937248	0.00000000	0.00000000	0.09306653	0.00002536	0.00020365	0.00000007	0.99269520	1.00000000	0.01217079	0.09015198	0.20659334	0.04082931	0.00000000	0.00000001	0.02261325	0.00462893	0.01749169	0.05908817	0.00473138	0.05347017	0.6626023	NA	NA
PWY7400	PWY-7400: L-arginine biosynthesis IV (archaebacteria)	N	0.00671398	0.12534051	0.23554825	0.03555626	0.00000000	0.00000000	0.03165713	0.12198680	0.14416622	0.00389490	0.34739591	0.50446320	0.01418017	0.02659027	0.08852615	0.02490173	0.00027687	0.00032028	0.01968058	0.00978245	0.02841074	0.05670486	0.01058380	0.06001083	0.8067104	NA	NA
PWY7456	PWY-7456: &beta;-(1,4)-mannan degradation	N	0.00000008	1.00000000	1.00000000	0.00159120	0.32925785	0.34439615	0.03908303	0.05527255	0.07185432	0.03018287	0.00000013	0.00000119	0.05741040	0.00000008	0.00000429	0.01834863	0.00104979	0.00114180	0.00000008	1.00000000	1.00000000	0.04183059	0.04207502	0.12485305	0.8115531	NA	NA
PWY7560	PWY-7560: methylerythritol phosphate pathway II	N	0.10492620	0.00000004	0.00000093	0.04733779	0.00000000	0.00000000	0.05700789	0.00035193	0.00127686	0.01583849	0.00122767	0.00352795	0.00038437	0.93002815	1.00000000	0.02257716	0.00014573	0.00017171	0.02298356	0.00033907	0.00289265	0.00000011	0.99631870	1.00000000	0.7289444	NA	NA
PWY7663	PWY-7663: gondoate biosynthesis (anaerobic)	N	0.00000007	1.00000000	1.00000000	0.02344010	0.00000011	0.00000022	0.08228781	0.00027410	0.00110044	0.08690278	0.00000000	0.00000000	0.00132115	0.78564436	1.00000000	0.02748468	0.00001594	0.00002187	0.01379575	0.04134187	0.09405276	0.03597271	0.10788134	0.24543004	0.7287949	NA	NA
PWY7664	PWY-7664: oleate biosynthesis IV (anaerobic)	N	0.06489080	0.00087988	0.00375323	0.03225149	0.00000006	0.00000013	0.04554285	0.04324060	0.06084889	0.00000008	1.00000000	1.00000000	0.00113230	0.83296225	1.00000000	0.03513242	0.00000006	0.00000013	0.01950317	0.00910786	0.02762717	0.04771029	0.03559561	0.11587073	0.7538366	NA	NA
PWY7688	PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	N	0.00400880	0.16794950	0.28836612	0.03287385	0.00000000	0.00000001	0.04492559	0.02361096	0.03704479	0.01081474	0.00976675	0.02133058	0.03031946	0.00005301	0.00057883	0.01750408	0.00755674	0.00790417	0.00564121	0.40113468	0.52397019	0.02372365	0.29324344	0.45229073	0.8301886	NA	NA
PWY7761	PWY-7761: NAD salvage pathway II (PNC IV cycle)	N	0.00866775	0.24887228	0.37126848	0.03961861	0.00000000	0.00000000	0.01456495	0.32112129	0.35066445	0.04158523	0.00000005	0.00000044	0.03609689	0.00020613	0.00187576	0.01551657	0.00619510	0.00650486	0.01697612	0.00537730	0.01906498	0.00562913	0.73732398	0.89760012	0.8213447	NA	NA
PWY7790	PWY-7790: UMP biosynthesis II	N	0.01298992	0.01653766	0.04303926	0.06278658	0.00000000	0.00000000	0.08687689	0.00006563	0.00033851	0.01860372	0.00065249	0.00214615	0.00110842	0.80517564	1.00000000	0.03217645	0.00000026	0.00000052	0.01153763	0.08874988	0.16472237	0.00000005	0.99868215	1.00000000	0.7739203	NA	NA
PWY7791	PWY-7791: UMP biosynthesis III	N	0.01293494	0.01671121	0.04303926	0.06274326	0.00000000	0.00000000	0.08668436	0.00006572	0.00033851	0.01865259	0.00064109	0.00213435	0.00110019	0.80627081	1.00000000	0.03208535	0.00000029	0.00000055	0.01147435	0.09009316	0.16472237	0.00000005	0.99889346	1.00000000	0.7743249	NA	NA
PWY7851	PWY-7851: coenzyme A biosynthesis II (eukaryotic)	N	0.05925323	0.00001974	0.00017387	0.07235598	0.00000000	0.00000000	0.03584085	0.05088605	0.06711059	0.02740043	0.00720537	0.01652996	0.01131534	0.05530186	0.14657677	0.02668313	0.00000243	0.00000393	0.01771630	0.00665755	0.02243840	0.02676863	0.15414760	0.30009183	0.7226661	NA	NA
PWY7953	PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	N	0.00000014	1.00000000	1.00000000	0.00038674	0.87972519	0.89949430	0.03312178	0.10582198	0.12782921	0.05249297	0.00000000	0.00000000	0.00037722	0.94556815	1.00000000	0.03833767	0.00000008	0.00000018	0.03072692	0.00003035	0.00059184	0.01652908	0.46726408	0.61034973	0.8280275	NA	NA
PWY7977	PWY-7977: L-methionine biosynthesis IV	N	0.00318133	0.37237059	0.50575707	0.01700119	0.00000099	0.00000189	0.08235811	0.00003539	0.00024230	0.13560289	0.00000000	0.00000000	0.00002124	0.99665950	1.00000000	0.05308019	0.00000000	0.00000000	0.00204047	0.73137536	0.82506394	0.01904687	0.33962682	0.49090554	0.6876677	NA	NA
PWY8004	PWY-8004: Entner-Doudoroff pathway I	N	0.09355664	0.00000000	0.00000000	0.07026574	0.00000000	0.00000000	0.09788420	0.00000192	0.00003277	0.00000007	1.00000000	1.00000000	0.00307933	0.50009986	0.76528361	0.02724123	0.00000286	0.00000451	0.01031206	0.11340649	0.19594919	0.03216887	0.10947585	0.24549120	0.6654918	NA	NA
PWY801	PWY-801: homocysteine and cysteine interconversion	N	0.00952822	0.05449538	0.11807332	0.06628597	0.00000000	0.00000000	0.08740237	0.00003668	0.00024230	0.00140150	0.56535803	0.74561711	0.01982064	0.01479714	0.05533727	0.04364776	0.00000000	0.00000001	0.01928197	0.00964830	0.02832244	0.03328943	0.11303663	0.24549120	0.7193421	NA	NA
PWY8073	PWY-8073: lipid IVA biosynthesis (P. putida)	N	0.00206934	0.56251343	0.70767819	0.00915598	0.01512602	0.01764702	0.05943240	0.00068053	0.00193526	0.01069759	0.01468952	0.03052388	0.01016608	0.10680744	0.22959395	0.02767046	0.00010515	0.00012702	0.02843348	0.00008698	0.00107936	0.00000011	0.99406034	1.00000000	0.8523745	NA	NA
PWY8131	PWY-8131: 5'-deoxyadenosine degradation II	N	0.04230608	0.00000025	0.00000398	0.00021102	0.92341358	0.93714463	0.03632227	0.07110702	0.08929956	0.00279383	0.35363880	0.51081160	0.00000009	1.00000000	1.00000000	0.01704458	0.01051501	0.01091482	0.01771788	0.01086582	0.03026907	0.01360438	0.53869553	0.68401805	0.8699999	NA	NA
PWY8178	PWY-8178: pentose phosphate pathway (non-oxidative branch) II	N	0.02079024	0.01039532	0.02895839	0.02578198	0.00000007	0.00000014	0.07227872	0.00025730	0.00104842	0.02308642	0.00232196	0.00609515	0.01689656	0.03107278	0.09979847	0.05051346	0.00000000	0.00000000	0.01072119	0.11782111	0.20229662	0.00507403	0.80453414	0.95911711	0.7748574	NA	NA
PWY8187	PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)	N	0.08420640	0.11961345	0.22676717	0.03170223	0.00000000	0.00000000	0.04468493	0.00992937	0.01795178	0.04554750	0.00009862	0.00042737	0.06390260	0.00000158	0.00003928	0.03209923	0.00000000	0.00000001	0.01142751	0.06785523	0.13373322	0.04206367	0.01748117	0.07720396	0.6443659	NA	NA
PWY821	PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	N	0.08961301	0.00005569	0.00038700	0.02457742	0.00000683	0.00001180	0.03249114	0.06909780	0.08733194	0.00000008	1.00000000	1.00000000	0.00000008	0.99770982	1.00000000	0.03447479	0.00000000	0.00000001	0.03226079	0.00000762	0.00025994	0.00227582	0.91021681	1.00000000	0.7843069	NA	NA
PWY841	PWY-841: superpathway of purine nucleotides de novo biosynthesis I	N	0.00331230	0.55744929	0.70767819	0.03047288	0.00000000	0.00000000	0.07071558	0.00095129	0.00254611	0.01621834	0.00060320	0.00211120	0.00000008	1.00000000	1.00000000	0.04661603	0.00000000	0.00000000	0.00130957	0.85547684	0.92209362	0.06205201	0.00773639	0.05841765	0.7693032	NA	NA
PWY922	PWY-922: mevalonate pathway I (eukaryotes and bacteria)	N	0.01505547	0.11145645	0.21278049	0.09910873	0.00000000	0.00000000	0.10968738	0.00000218	0.00003278	0.00082605	0.77497880	0.96606946	0.01275901	0.06731132	0.16869170	0.03728696	0.00000000	0.00000000	0.01813862	0.02367198	0.05718983	0.06907514	0.00184714	0.03498064	0.6380626	NA	NA
PWYI9	PWY-I9: L-cysteine biosynthesis VI (from L-methionine)	N	0.00873787	0.17461906	0.29609319	0.02524281	0.00000047	0.00000092	0.03875716	0.06126916	0.07927242	0.02701618	0.00028272	0.00108709	0.01567644	0.01375592	0.05358485	0.02345473	0.00069468	0.00076781	0.01037857	0.15026110	0.24412016	0.05549657	0.00971275	0.05841765	0.7952396	NA	NA
PYRIDNUCSYNPWY	PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	N	0.00363278	0.44926852	0.58966493	0.00752307	0.01042989	0.01232623	0.10990496	0.00007840	0.00038913	0.10975612	0.00000000	0.00000000	0.01452870	0.02646176	0.08852615	0.04636524	0.00000000	0.00000000	0.00000007	0.98401909	1.00000000	0.07609659	0.00187976	0.03498064	0.6321925	NA	NA
PYRIDOXSYNPWY	PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	N	0.00036670	0.85992492	0.99054642	0.03078520	0.00000001	0.00000002	0.06310950	0.00217745	0.00499435	0.00921611	0.00458252	0.01127052	0.01931510	0.00529176	0.02142488	0.02520775	0.00012027	0.00014338	0.00892292	0.18533756	0.28726147	0.00885373	0.68457226	0.84564809	0.8342230	NA	NA
RHAMCATPWY	RHAMCAT-PWY: L-rhamnose degradation I	N	0.04731092	0.00383775	0.01232595	0.04183885	0.00000000	0.00000000	0.05449287	0.00455135	0.00906947	0.03278945	0.00000256	0.00001790	0.00225497	0.71734015	1.00000000	0.04791610	0.00000000	0.00000000	0.00553892	0.42344847	0.54787408	0.05129013	0.00978068	0.05841765	0.7165678	NA	NA
RIBOSYN2PWY	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	N	0.03384822	0.00247468	0.00862921	0.02343478	0.00000027	0.00000057	0.02375916	0.12045799	0.14360275	0.00385745	0.48727793	0.66182525	0.02994094	0.00033237	0.00245238	0.04000910	0.00000000	0.00000001	0.01015744	0.06750253	0.13373322	0.00000017	0.99793656	1.00000000	0.8349927	NA	NA
SALVADEHYPOXPWY	SALVADEHYPOX-PWY: adenosine nucleotides degradation II	N	0.01730822	0.00245514	0.00862921	0.01811501	0.00007627	0.00011316	0.04083842	0.03016028	0.04599864	0.00183633	0.64847803	0.84302144	0.00224217	0.69731788	0.99668995	0.04551320	0.00000000	0.00000000	0.01959702	0.00694145	0.02310995	0.02723910	0.20788358	0.37953894	0.8273105	NA	NA
SERGLYSYNPWY	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	N	0.00021703	0.94042655	1.00000000	0.01972938	0.00001782	0.00002931	0.08639954	0.00032426	0.00124680	0.02803889	0.00001382	0.00007255	0.00037933	0.95496373	1.00000000	0.04650236	0.00000000	0.00000000	0.00850811	0.29104765	0.40332999	0.08602100	0.00028495	0.01522613	0.7242044	NA	NA
SO4ASSIMPWY	SO4ASSIM-PWY: assimilatory sulfate reduction I	N	0.07325539	0.00001381	0.00013963	0.02026920	0.00011373	0.00016255	0.04721650	0.01791672	0.02964402	0.00131126	0.66243808	0.85708813	0.00386961	0.47958454	0.74390103	0.02319423	0.00032958	0.00037805	0.03325675	0.00001369	0.00037385	0.00690074	0.74519030	0.90016350	0.7907263	NA	NA
SULFATECYSPWY	SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	N	0.06103597	0.00004594	0.00033008	0.01759932	0.00044768	0.00060205	0.04500144	0.01941359	0.03154708	0.00040569	0.89903135	1.00000000	0.00586733	0.32581990	0.55593020	0.02607650	0.00010112	0.00012379	0.03342849	0.00001195	0.00036250	0.00060185	0.97725507	1.00000000	0.8099834	NA	NA
TCA	TCA: TCA cycle I (prokaryotic)	N	0.07871760	0.00016452	0.00100968	0.02266223	0.00002044	0.00003302	0.03784164	0.04673079	0.06338436	0.00000026	1.00000000	1.00000000	0.00000043	1.00000000	1.00000000	0.02926055	0.00000112	0.00000196	0.02913780	0.00016462	0.00166450	0.03202010	0.12679312	0.26387078	0.7703594	NA	NA
THISYNARAPWY	THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	N	0.03253025	0.00178376	0.00691296	0.00844033	0.00764159	0.00919011	0.00000005	0.99477755	1.00000000	0.00119165	0.75138741	0.94967020	0.02643979	0.00027703	0.00210083	0.03507371	0.00000000	0.00000001	0.00307677	0.62506738	0.73658263	0.06320508	0.00073838	0.02089513	0.8300424	NA	NA
THRESYNPWY	THRESYN-PWY: superpathway of L-threonine biosynthesis	N	0.02424475	0.00000158	0.00001918	0.05714892	0.00000000	0.00000000	0.04442668	0.02231476	0.03541819	0.01502598	0.01948116	0.03968923	0.00002422	0.99308251	1.00000000	0.03573099	0.00000006	0.00000013	0.01402700	0.04446459	0.09868970	0.02264520	0.29128884	0.45229073	0.7867263	NA	NA
TRNACHARGINGPWY	TRNA-CHARGING-PWY: tRNA charging	N	0.17333738	0.00000299	0.00003260	0.01436692	0.00031026	0.00042139	0.08354228	0.00000056	0.00001523	0.00354739	0.25643446	0.39109837	0.00370458	0.50177936	0.76528361	0.03292859	0.00000009	0.00000018	0.02618479	0.00002782	0.00058422	0.00000005	0.99693914	1.00000000	0.6623880	NA	NA
UDPNAGSYNPWY	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	N	0.11235155	0.00000000	0.00000000	0.10827595	0.00000000	0.00000000	0.06418448	0.00043868	0.00147728	0.00267683	0.36489890	0.52430210	0.00512477	0.34814535	0.57255229	0.04427338	0.00000000	0.00000000	0.01237695	0.06958115	0.13568324	0.06292021	0.00073728	0.02089513	0.5878159	NA	NA
Uniqueness	NA	Y	0.00425991	0.38176184	0.51088717	0.00595398	0.10340704	0.11114222	0.05217043	0.01247988	0.02170069	0.00867854	0.08885627	0.15353013	0.03320566	0.00173042	0.00805316	0.03555791	0.00000228	0.00000372	0.03997895	0.00000108	0.00005878	0.02249778	0.29982925	0.45862373	0.7976968	NA	NA
VALSYNPWY	VALSYN-PWY: L-valine biosynthesis	N	0.11816484	0.00000102	0.00001460	0.11432418	0.00000000	0.00000000	0.09405461	0.00000048	0.00001444	0.01243121	0.00378194	0.00955990	0.00584312	0.33585683	0.56101461	0.02838402	0.00000064	0.00000116	0.01897103	0.00220129	0.01009422	0.00227065	0.90035928	1.00000000	0.6055563	NA	NA
X1CMET2PWY	1CMET2-PWY: folate transformations III (E. coli)	N	0.00217051	0.49917242	0.63978437	0.01641055	0.00000178	0.00000323	0.08206387	0.00003748	0.00024230	0.14484585	0.00000000	0.00000000	0.00169051	0.73513695	1.00000000	0.04821843	0.00000000	0.00000000	0.00415711	0.48511438	0.61030519	0.01740126	0.37811707	0.52134323	0.6830419	NA	NA
