Pathway	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	600.8005908690	588.1217061981	897.1366574012	195.8891722134	968.8292584239	883.9265046852	941.1161943707	945.8291762216	1054.9582348698	781.4657591921	881.4944311485	645.4063903379	877.1938306799	884.3328321099	671.6536274361	952.4650579186	1103.0218158524	861.5628782917	586.1509665702	908.6624644539	654.0467595144	902.4176540945	920.5253212222	1414.3571203204	1009.7194897192	1015.4186351537	1175.7607998470	834.3108364982	818.4076468501	1090.2630000536	931.6543696278	1163.9053327836	1294.3351393707	1147.2338620681	876.8016462233	1448.4889637773	1471.9399138522	572.0045556621	1837.7119314690	1303.2726831002	761.9563345131	1404.7225577567	1512.0937658549	981.4300956958	1702.1272559870	936.1517724387	1039.4883141924	936.4139866210	534.5362553486	1207.1206738856	783.9966051112	1167.4481056140	747.5647400907	1240.9376212503	1337.0414369372	1358.7408206156	1402.8466286268	1709.5005188518	1164.4012785817	1534.3765803702	619.7208976298	935.3362498951	1094.2347334945	866.0882355687	1122.6549165491	895.3695704551	751.5150296808	1055.9082825251	1188.0809742751	971.9213412272	754.3795337989	1188.9129284583	1010.6001119099	732.0210161291	1671.4383604239	1392.2380260369	1248.3619241477	934.8937913308	1712.5209372045	1509.9903598217	1215.1929931481	1662.1602569771	1896.2145596134	1544.6029756258	955.1975523254	923.5625945814	987.6323672228	1280.9681654723	2069.3810489930	383.7036477370	782.0112893779	921.2075796813	1154.9299232909	884.1422782028	1065.8397572660	1096.3207402746	1265.8724832734	1098.4397577794	1056.2271551835	963.4513379685	1563.2428064954	669.3317754647	573.8372340270	954.4382586771	1030.2596454523	7024.7547083760	1070.8227354686	970.1869447785	1548.7707727387	1382.8929018541	1247.2161596234	817.5535276928	1276.0457433713	739.0279326159	841.4053249593	807.7583476997	722.8863330381	618.2595972533	1008.8506615126	1121.6463579137	968.5797947769	1701.5468452692	615.8726214654	1487.3872263649	983.9360948155	669.8566538427	795.0146494751	1141.4787259735	851.2847387760	587.1924573963	879.4646282342	778.9701243891	962.0940915941	505.3931193151	452.7669796708	1109.8048840765	1029.2776453448	882.5437709488	208.6467764801	710.1147938736	738.2078955339
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	589.1892541594	652.9819906904	852.2493693889	158.7803445361	935.0158097320	891.1605437395	1038.4968495962	977.8004330963	1195.7933573315	839.7372428171	932.4870896420	751.9798557327	834.7854822684	810.4744237757	739.8305328996	923.1266626982	1087.7719221820	885.2614564297	572.0122993816	898.0693327262	664.0046902363	969.1673555899	951.0066186791	1455.8798516720	965.5530137050	1025.9452848226	1215.1928144556	821.3859314382	807.7082314554	1079.8418439953	910.0540602380	1137.5595539062	1265.1136739133	1121.9825815523	857.2911484847	1417.4272600836	1489.2603898160	579.5379929394	1788.2116371768	1276.5468964920	790.6921359684	1362.7026417726	1513.5417614370	995.2086627608	1712.9148856927	955.3492226027	1047.5275893168	928.1720095164	558.5433767323	1159.8948817402	750.3018848205	1181.8157509907	748.4060213509	1247.5150803652	1343.7558378593	1416.4349993788	1437.8835530351	1751.5926774491	1214.9911819597	1596.2793120875	592.4044930522	910.6930813962	1043.4954585454	881.0621042374	1112.6932357844	877.7729957632	704.8028767410	1024.6609960042	1205.5502081761	926.7222615415	681.0200147550	1146.1050325691	992.2375655898	732.6481197634	1673.0084171760	1416.6652212335	1257.6847902350	877.3778727471	1708.8293289093	1443.1443292093	1182.5587882664	1691.4884035996	1855.5270557806	1503.1010696335	959.8111269271	917.9621592006	1004.5059791659	1278.8664365743	2061.8894844850	376.8480293167	795.4177158564	931.2365295217	1124.5769876277	877.0662240127	1090.9365457637	1132.8808766191	1254.3658265867	1056.1526757704	1039.6381242765	927.7194911924	1517.5488520645	679.3273085082	579.9430953796	1038.0687894184	1019.0062578037	7086.2874769434	1045.2066484244	953.7263647126	1563.4449917095	1386.5611297005	1220.4327128861	738.6942747812	1311.3914989910	761.6989918439	847.8878785992	800.9409721916	726.9606977252	642.1135042100	1035.2139544034	1146.4140992322	990.9115252005	1755.7497651495	554.7526081619	1477.4814168246	965.7442845581	609.1759221619	791.5599636846	1105.3746643674	831.8532665670	482.9206033542	842.5674744700	717.8860873299	943.2818390034	414.8920403784	426.3537806598	1059.9173809504	988.6431829350	861.6640062718	177.6594589812	712.8181764390	722.4453737885
ARO-PWY: chorismate biosynthesis I	1095.3603718706	1071.0543048731	910.0668758265	186.6391941573	700.8354623791	737.1376338566	1645.6618259993	1578.1211133366	1787.8362593891	1267.0142200980	1354.0966348613	1242.6956232642	733.9180754472	640.6967156128	1386.8372714450	677.3794632387	1036.3921412534	1007.6157843753	354.8892363054	669.4497489482	728.2467815044	1028.8829526889	1099.4089548039	1481.0167281186	785.8156631789	868.0006249586	1414.2822513846	1162.5345987977	777.8765546463	1018.1065751770	568.3291125180	855.5163387292	1240.7182414437	1144.8488533873	1085.8917418304	991.3762187534	1080.6920772167	498.4097151100	1276.0962869570	1063.0473563448	595.1617874205	1027.2223273015	1494.6504728108	1053.9668314174	1764.6488417442	1018.5354146195	1100.9712116105	820.9871845785	839.6258343672	856.5184892978	579.5748781722	1097.7443108595	864.9204246256	1282.3369058350	1312.0318210968	1163.7849883055	1032.2778991869	1501.8728986159	1006.2795006834	1450.5109149709	447.8185530099	929.1449679768	818.1482705107	962.3893658222	739.6667870082	563.3193646370	604.6917341525	777.8242096583	1137.5138585923	619.7040421675	380.5499463095	651.6239020756	695.6579035434	801.8590890670	1619.1580450401	1418.0427826569	872.5088793336	588.4127437406	1424.5357998155	1025.2869354325	887.5872073584	1378.4716502499	1303.9236332452	1205.0441457815	802.5970253472	592.4061021106	973.0120885568	741.2019230645	1415.9961178640	309.2443727392	672.7894962787	564.2922114079	806.1629495867	514.3634561774	714.2229666109	716.3647026008	748.2617271984	777.5010644648	620.3744431472	569.0903536319	1366.4115503740	557.7037654251	491.5501167526	764.6127620891	582.3921423369	4311.1337658355	900.7769824096	655.3276606687	1249.1620682236	1322.0340135090	938.2365272281	803.8627000968	1203.5407686831	830.2716888962	687.0940294925	511.6656152078	401.3212000796	608.0873573211	919.2430016216	1052.2198913756	951.1020824103	1654.3718806932	598.5230912495	1385.3236903132	631.7833532234	451.7139521577	799.1143465930	875.3405367443	745.1753741647	527.6212548613	825.1413403226	560.4008262972	984.2167199265	628.6233611031	467.8870165943	938.5714324230	903.3828414260	827.2299690197	327.9316548123	426.8684962631	522.4637650954
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	786.6776281556	693.0567141551	596.0975954158	221.3414680470	549.5470940099	431.6573370446	1294.5382333593	1206.5556079811	1186.9445666866	942.3355922492	781.7555580179	800.9985263007	403.5644368510	341.3476070331	882.0482649482	265.0683255595	444.9728038553	487.8692573039	111.3528102728	225.1715359686	306.9375828811	327.7961895644	526.1522383823	406.2705844854	271.8609532103	267.0906667865	476.3408352945	447.8482240783	294.4083569820	293.1536337266	155.1323075871	292.0800774373	621.4673321828	472.2943783340	499.9955135105	219.7370680028	245.2201792592	165.4700562028	240.3798697652	267.1361485972	309.1958968650	280.5825287866	595.3521564956	488.5152276984	583.3406658060	527.4380790931	556.8127509321	325.5794453467	484.5732843886	203.4733279040	180.8119667447	462.1136052258	366.2298931846	593.4464186886	521.4942455473	377.1075094203	329.7642133467	647.9339044295	378.1320340006	435.1789028404	40.0864051432	415.3543145514	249.8300424301	501.7518943447	178.3309983029	160.7087975010	212.9481949312	95.8862956394	481.5296178698	90.5238210521	58.1970323238	130.3786548618	198.5154324869	343.1458780581	622.6073407473	619.0040810495	321.2797224870	233.8599276609	461.5463014483	181.0909792141	185.7126675899	390.3826007771	224.6163292210	276.9529360906	326.7703558068	154.2773916057	376.5218956431	177.3383599104	390.6957150336	145.2143792160	297.5346617907	160.9601335936	68.8352109647	147.0060821711	146.1725809600	128.1593912311	80.6845243009	185.8970655398	109.8180750533	101.2727320844	361.2494827950	347.0117252755	191.1645103973	296.3404070131	121.1570192843	722.9389601242	192.3885539881	59.4741447927	322.6936127273	365.1006812166	111.3321393254	336.7321074163	299.6994090935	276.4351556911	116.9241552554	116.5668637778	26.1748863552	250.6890711797	290.3030849579	293.4725839086	246.6412162416	526.4424954120	323.4435165146	473.8822622137	77.7713144495	98.8900256447	301.1733774696	221.4338989332	177.4367445461	236.7378180963	299.6892419899	237.8045398153	297.3446360258	466.9131678419	195.2608913354	279.4181861923	68.1703630126	247.1858869422	122.7466135914	67.7467132320	96.0369134245
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5436972981	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.0646060988	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	878.4903829126	719.6057563201	1004.8158138090	263.6387051104	682.0535278072	965.4159325379	1383.4150730149	1340.1625550424	1430.4697585411	919.8966669054	1092.7376041759	975.9359091734	949.1311759677	711.5087440438	1024.5540252785	811.8572685060	1054.5556819643	647.0115523371	362.7580045990	706.5670995104	809.0985586201	727.8591049257	672.8578434853	899.2347503771	667.8918512462	541.5261883520	486.2998338016	833.2135841886	457.0450908094	690.4031358992	740.6074800149	923.8486521265	1139.4527603913	925.0520803562	634.4839417738	841.7592260723	978.2997135152	318.4899263457	1337.6249942773	853.9636774717	712.2475687466	1288.7101097243	1197.9186497011	866.5665763922	1149.8574643610	885.9792537324	914.2484450085	800.8361644972	467.3671053941	933.0577708396	527.7345519792	1011.1562127909	568.6175555934	1027.9440555202	976.5705690432	1292.5190074521	1144.8911987459	1020.2646945101	930.3273722401	937.0910989812	339.0532285388	716.8312921923	850.0812325603	790.5605958814	816.7581098931	754.8060089527	618.0310999185	637.4449713425	875.9315072181	668.2677608792	605.8528196398	951.4027759532	915.5470452825	786.1815280391	1061.8420152186	944.7301662235	975.6062698348	848.1845926851	1059.1510454409	1003.0609530144	724.5869748351	857.6791708648	1172.5431381004	1008.2516275738	587.5558783380	795.7419839305	528.2972432102	895.0492558924	1458.6797955503	318.7787198977	646.6942756083	679.2811628826	761.1066404783	587.4909800675	601.0796844157	575.0599087977	803.2930042004	645.7207912381	663.9832158641	591.5089468816	882.3414391423	463.2654813508	449.6131275777	612.2119587735	701.5562733251	4765.1188943278	501.5839290111	514.1017963198	713.3087297511	684.7424058548	628.7178179203	607.3949903377	602.1088267393	574.4788349180	503.8798553119	501.1589734823	395.4889127423	437.8061062265	627.2988413308	643.6869238543	626.8668843953	970.4603849044	440.3798713729	786.3081553494	560.8406362140	404.0447555960	735.3112841887	758.8897708323	684.4035007434	604.4158998230	762.1482028949	595.9937903225	844.0465040489	653.7717833648	379.4931705779	766.4753369283	527.2546623772	592.7149257139	191.9950258730	428.5081154271	405.5720634183
CALVIN-PWY: Calvin-Benson-Bassham cycle	1068.5226360186	945.5065406141	1065.7093219686	249.7789935364	920.4977859247	937.1645951807	1637.9730877366	1537.5053453855	1590.0835055640	1328.2111699193	1230.4604017984	1127.0750014894	857.4665896000	697.9587259024	1264.6179862954	700.6296920947	1071.0412031556	701.7307535823	290.8344878202	666.2270658368	643.9040907183	685.2550115730	679.4236642164	930.7876897659	611.4404602454	569.9181425586	570.4277947736	865.1382635871	568.6535731492	686.1225614540	539.4705754428	772.2740799672	854.2872597974	714.0118023523	705.8903450204	864.9443516454	815.8143826233	349.1981009352	1000.4970590431	718.6547023324	638.4329555681	1138.5118566377	1060.8186337765	776.1415713456	1004.9020741336	752.1163596320	763.9020775831	578.9579225457	509.1233595210	631.3867511257	405.3066230792	706.7453551583	390.8950977811	710.2285005599	657.3040178998	902.3141493605	818.3914931677	563.8578300566	592.0917708888	486.8486959655	222.5385100728	633.7711748664	602.6383695956	433.3739832717	526.8335761686	619.1564000676	624.4180393542	646.3654023649	760.1598379046	618.1173335438	414.2569789360	740.0558320661	704.9977541688	782.8472883812	1375.6227870422	1297.3595740282	896.2675935015	596.6529577633	1265.2589929053	954.3147330334	818.2306452834	950.5649064003	1207.9483765831	1074.0050115851	714.6276373302	666.9771585733	819.7891111703	863.6080758818	1330.4633802273	295.6771751282	591.1450639860	516.0810613630	553.1192602683	514.9564773181	708.3552464158	659.7328801207	727.2663341166	801.5974516618	664.9862251935	677.2241420599	1273.4402845542	511.9539965655	474.4095689440	583.8816204739	656.9168119782	4465.3684717381	775.6965140688	562.9175171661	1061.2084279428	1146.0354479551	707.8324218138	828.4419829584	1039.3391603855	765.2419039255	588.1035504638	523.4306047546	422.9847094466	614.8883228716	636.6148753070	699.3097646908	619.1877579602	1199.2944477126	656.8009189335	1252.7713470164	616.4257626781	487.8567607952	478.1497622566	728.2735135181	590.2016307383	614.9587709796	715.6856422370	618.2144093886	775.0073281345	671.5613340399	445.4415595399	931.9605226405	447.3273475925	933.8293365499	489.6830810792	484.8608890747	535.6790973346
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.1158350895	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	71.0386042580	76.0109263484	0	133.5731118810	85.9195346211	128.6860635494	117.2658476054	80.5440032310	80.2202461490	0	44.6436085659	54.7515968645	47.7531859394	90.7385285067	83.4754472901	107.7465379543	76.0271036792	26.3456492587	52.7840176068	0	0	0	51.0630351552	36.2939920589	35.4276238939	0	30.9150741570	22.6628694821	29.4597683809	55.0704032134	93.4328959507	77.8652983223	32.6247599448	21.0465978429	42.1541608161	108.7913025551	0	100.6418008478	48.1016837967	135.4718547105	274.3406092835	210.2727489339	173.0724313228	202.6222252567	94.1908859624	101.9909443268	115.4977804737	28.8776362948	92.2931000585	58.6251812030	28.7177512929	28.6406982898	58.4795699699	69.9425186041	115.0743239599	158.4158904133	109.3977470746	119.9819724520	77.8448484096	0	0	71.5840454471	42.8887481997	48.0274351930	34.0734112859	20.5202985448	62.0409744261	47.3764515912	27.0035387501	65.9752161073	194.0252534174	79.3996853587	71.2554563400	40.4905270734	63.0065004797	81.6666098056	33.1772216570	96.6526085283	72.3912650629	74.6227932085	56.0268460151	93.4847883624	62.9181134235	101.9319093329	111.5787653391	83.0605990025	143.3342648272	205.4315359078	26.0999005208	40.6848450579	63.9124413168	51.6036596732	21.8938206857	66.1901131941	36.7555582629	75.9191025058	113.2346883963	110.0314295393	50.5438760820	107.7258854441	21.1618991246	0	0	31.6533386955	331.6734340837	28.4714204804	23.8605377953	29.8468882186	0	28.9907472796	64.9075980785	51.4642261688	53.2281702828	27.8233276713	29.6098879110	52.3399920855	43.0625248932	0	0	0	0	0	27.5075438047	94.3174009432	86.0052235289	0	38.0089101444	19.7314684960	74.0075559242	56.2034132255	53.8302366797	29.2921268980	50.6785298928	0	0	36.3410360784	28.6417813830	0	23.2928362121	43.2134722392
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	0	0	0	0	75.4395710971	99.8237139736	50.0397026118	62.3121863016	56.2728514740	0	0	0	0	0	0	0	0	0	0	0	0	60.0523449970	0	0	0	0	0	0	0	37.2041936060	0	0	0	0	0	0	0	0	313.5871325081	637.0970349267	571.5425141082	493.9103381377	551.9054399050	310.4507108721	241.3290052720	159.5644698642	137.2219084832	35.0402856604	123.4989736105	70.9592442092	153.6136963237	186.2168098407	158.5989409136	221.0125250364	95.2960540215	78.2254502472	154.2661088273	165.8122635547	0	31.4113827270	109.8385050380	123.6005298489	0	31.4218336164	47.9675308207	0	121.4320134895	36.8988336633	0	99.8093089507	92.9361545956	159.2536236123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.1223939276	256.2093555550	42.4530039694	0	28.2295737279	152.4406533524	30.9112077205	38.5026562804	0	0	0	0	0	0	0	0	85.8075679453	0	0	0	0	0	0	0	147.5565231802	0	0	0	128.0260454316	0	0	0	60.0828778878	0	28.2626577522	0	0	0	42.6890543102	0	0	0	0	0	0	0	0	0	0	0	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	1475.0575268192	1436.5463791310	1103.7159270659	354.4059180049	1117.4669551475	890.4640857837	2277.5555106659	2205.5416762927	2357.4632873447	1915.7202668261	1629.4074484786	1634.2089347838	921.4992321939	731.9609891903	1757.3965170228	685.6885716672	969.8204717094	1163.0138410325	309.5730558573	622.5608668445	760.2930348232	1151.4263782002	1271.4916014703	1677.7566933214	841.1277735753	1000.4517052288	1611.6828472406	1130.5924042412	832.8077156265	1003.0657489539	457.7673269761	854.8021387394	1333.2362628940	1413.1696930562	1140.8412649667	864.6450132017	872.2604817930	478.5972401302	1096.0316101690	851.8535969788	741.4764418895	909.4531890627	1584.1424330357	1107.3853162792	1906.2589058787	1109.0432830115	1099.9914248865	873.9015890810	1202.6107982944	808.9835131777	451.6348431071	1202.2582433055	887.5912650270	1594.3134204188	1450.9041889039	1036.9570594316	1112.5066328468	1795.1735082911	1062.6628537219	1539.7019571252	250.0197349275	904.5566481158	761.2898522733	1265.4274968354	694.0758228016	362.4945507415	531.0727716196	419.8949848141	1402.9402926786	483.3858535355	266.8291313146	523.9020969165	635.3497402079	820.5703755138	1974.7053747740	1647.1763977397	912.8288202009	656.3812784257	1643.8530340818	948.2568510658	876.3452519674	1529.0419759947	1203.5885395251	1258.7000822798	987.6756928403	674.6570369085	1181.0328744180	843.9737995934	1597.3496824553	334.0625495059	761.5285724582	474.7741523715	523.2521822845	536.5998985773	654.7375669696	625.1118029525	583.7620550824	926.7078746061	610.3190215834	586.3329864749	1583.5493985940	682.4279910997	515.6699177740	925.7434757229	494.5325360155	3811.5778594168	862.2568761878	544.8036495319	1310.6887565657	1437.6475696793	753.1087285814	977.9031486428	1299.9224393942	983.6655613473	612.4727870675	491.8485641943	334.3634557611	730.7510405761	1081.2436190111	1107.1932006842	1018.2072062336	1873.3891081228	846.0438165401	1631.2609741601	386.1152084599	405.7690662776	819.4874021124	950.6406908830	685.6371369472	704.2988584611	1023.0047236161	760.8325174524	1237.2040124888	929.1482416627	615.9997044452	854.5416964518	525.7527060297	1116.1216715327	673.4113489230	434.4240076898	502.0926282761
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	1436.0818816733	1411.7292560771	1062.8985067074	358.8062150267	1048.9577887710	870.1230109827	2273.0265484086	2161.7454875898	2391.0525629592	1867.9516869867	1599.4275993512	1638.7084508905	885.1816658031	733.7256467842	1767.6804440380	673.1327656924	926.5085973676	1128.1641665213	280.5497466034	580.8477177422	748.4092948351	1178.7278535519	1266.0140206817	1714.6422900171	797.1924302317	962.0491819204	1587.5497183697	1108.9146054865	832.3933612987	991.5029751582	422.0666510876	809.6776020277	1267.9878313445	1353.4626248512	1081.7983525424	783.5465739271	820.6293591999	451.3123684733	1043.2987063237	815.1269529119	714.1582759830	940.2876391351	1517.0475579191	1059.8693226797	1860.8114358572	1036.9542407530	1037.6134404624	844.8847279895	1182.4931931472	731.0949504468	410.3951195540	1140.6418101642	850.5609897537	1525.7212327964	1368.4027866941	1047.0152068080	1069.9509019834	1729.2133352327	1017.6039692703	1483.8906613693	217.9496273763	831.6370943365	693.0843721908	1183.6526619004	625.1492267983	382.0532149652	531.7384686971	368.4122700670	1332.0028630106	441.2028597422	333.9667575010	657.9076218307	620.9851167541	861.7938784981	1878.3913001376	1564.2232070263	869.9602843316	595.2984393976	1537.9134619031	877.9081065004	799.7393002436	1438.3573785785	1091.3179326608	1172.0041280050	954.8174824548	664.1122019628	1191.1317484158	838.6283444825	1633.0103578763	314.6482557902	720.0741477393	426.9881307627	462.3613899012	480.6832779281	593.4414445030	571.6659576145	522.2647442490	853.6288943193	691.7078260705	616.7817039484	1617.1859745419	630.9851913102	476.9166652536	872.9717317477	433.7281501081	3466.2066327469	808.3248006995	491.2831602732	1246.3924969290	1368.6599931046	682.7762590134	988.0205818896	1249.9907499047	928.7379610128	572.3747322031	445.0220640506	291.6916980489	679.0118683619	1018.0285077300	1057.3990249322	977.0925253661	1805.9430322386	799.7425624998	1557.1542594574	331.4543562555	353.1689817625	757.5289159096	878.3980107810	636.0478239463	714.4935557321	973.6946113584	713.2862090876	1196.6167476306	875.7574692355	573.0049768793	782.3584200679	458.2851477461	1071.3454016191	700.9317045273	417.4831102007	493.0480840648
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0	0	0	0	0	46.8344823739	0	34.7468533232	34.9222144910	44.2919963498	44.0976708467	34.3319773938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.7377950809	28.6892009809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.0587395237	0	29.2628977728	0	0	0	0	0	0	0	0	0	34.5438391654	0	45.1138914737	0	0	35.2914220207	0	0	0	0	0	0	0	105.0315614757	0	34.8973581779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.2273054050	0	36.6237036394	0	0	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	684.8254890633	477.0187450525	506.4454585180	179.8007317173	386.6796667597	360.3627404855	999.5501367801	953.5024749377	902.6138836880	656.3705637162	657.1554694295	685.6233824817	363.6925408727	255.6846804996	761.5504613566	228.2408838038	241.8632106362	358.9806214053	112.5156661741	140.4305988353	261.0457389189	301.1355452751	364.0273431155	330.1865676114	229.3993092839	187.0632707947	304.7263832894	215.9714933258	235.5244945702	167.4723420727	77.3039807429	169.0296364186	265.7388112063	212.5518839174	210.7617724875	110.6566738222	126.2949799383	31.6767015300	158.7451386507	111.0908993724	167.9791042773	155.5857274086	299.4015338325	258.3152949817	240.2124584018	268.7687933995	278.9858331271	189.0818597141	182.0314334743	123.0443036744	92.4453991590	288.1722667863	150.6230377205	305.1349803691	255.9315088327	246.1226267363	191.8980844116	195.9201908475	213.6863193228	164.4231770790	35.8282363019	170.2462495136	148.8768845386	150.7130063823	95.4863432653	75.3018277655	172.5812325613	62.3030452666	301.1598175745	95.3803874620	45.6201091746	121.2684204918	102.6733796716	239.1085713135	294.0062782704	334.6510227656	189.6904205657	177.3864646283	191.2989808995	138.8506589865	150.8065397797	182.5320784602	214.1615961344	237.8065279188	167.4178166389	138.7075414631	179.9084019928	133.7987444308	216.6722733810	58.0452125717	84.1281952402	90.6202946635	52.2889328459	139.5431469127	116.2278651768	52.8180287095	67.1591549666	139.9814087127	129.6649098009	119.5414072892	143.7886315711	136.9437858098	114.4732826023	84.1191565726	119.9361959374	569.6559266466	58.2059302396	60.0189256288	136.2546193966	147.7920206470	88.5022312462	192.4131588038	46.8962377589	166.8371816255	63.7382981937	73.6478707539	60.1975125423	96.3005538846	39.4031733059	51.3594576752	43.7208075706	44.7616363051	174.3043990368	95.0342382409	60.2254779651	111.3813899040	67.8373593819	123.6909226692	86.5080996681	184.8923640111	134.7966366774	184.7702377746	79.4427846290	232.8077201331	84.5876830780	145.0654406281	51.8275687696	121.9953894932	0	64.1563108665	27.6483722164
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	787.7285252143	707.7788699750	772.1068194780	175.3504753617	605.5980131905	645.0889555165	1269.9462817190	1175.0293333598	1372.6724046723	904.6911910695	1013.3528774076	929.5459202650	642.0870382240	532.2210686249	1030.5576579486	618.6855823040	918.9284670213	875.4176683548	323.0330689996	588.5059548668	651.2664829104	975.9205635449	1022.8570706343	1395.7498603978	750.5106200127	810.1089209291	1303.2589069295	986.0944760703	713.9750808204	952.8993944810	503.5023819249	773.5305097805	1153.2326243242	1026.6943814695	927.9591624632	907.0684923669	969.5619598805	465.9815424775	1183.5757025283	967.2746446874	545.6820360917	892.4948577586	1357.4380026823	885.1100471370	1561.1559811459	900.9433205260	971.7927721521	710.4597143989	677.9687669447	767.2890977665	535.5663356966	1049.7531340345	800.6079950386	1215.8546343149	1237.9063026688	1093.5125717116	963.7788061792	1427.1657469686	966.8227903850	1427.9804159721	398.9646083548	885.2275235804	719.5894755777	909.4999530661	676.4393351359	512.8518606967	553.3019670889	676.9709450633	1113.3995255536	545.4976687959	323.1523823853	593.4733973190	592.5122890856	723.5816615158	1498.9709770747	1300.2135632189	750.2079701313	543.5048029525	1292.1229189884	931.8702673654	813.8360083099	1291.8825566401	1241.5873376211	1113.5514294116	738.0594722791	565.8018373848	893.7443525763	672.5809022569	1324.1393279279	293.9191482199	634.6508117005	509.2337429022	731.8402342130	464.7639362940	671.0161361270	660.9022887351	705.5307957565	666.6760695763	525.4759778881	501.6551893178	1158.2253557519	485.4500869199	415.8688844624	683.3432859960	564.0311254756	3959.6412714567	738.9354257207	593.6097435862	1046.4755985016	1127.6450512648	865.3481947456	670.4433038103	966.1766812304	647.0592320180	553.3242845620	444.1389811419	368.0689411849	485.9324871562	870.5734427445	933.3990937568	833.7416860325	1424.3120791003	472.9948201534	1060.7701536336	571.7410332732	381.9467874932	745.0188240302	803.4417818030	654.3977259582	423.3120374514	702.0160789736	510.3860635230	835.4782928735	501.4850419144	381.8117339390	773.3004249708	809.6228228394	661.1847746138	220.0094608747	383.9864812543	466.8029678108
